ts,model,dtype,tp_size,worker,analyzer,storage_variant,mode,hooks_on,prompt_len,max_tokens,batch_size,n_layers_captured,enable_prefix_caching,enforce_eager,vllm_version,plugin_version,cuda_version,gpu_model,run_id,profile_tier,rep_idx,row,rep_count,gen_lat_mean,wait_lat_mean,analyze_lat_mean,total_lat_mean,prefill_tok_per_sec,decode_tok_per_sec,peak_gpu_mb,artifact_kb_mean,cuda_alloc_mb_max,cuda_peak_alloc_mb_max,cuda_peak_alloc_mb_mean,cuda_reserved_mb_max,cuda_peak_reserved_mb_max,cuda_alloc_delta_mb_max,cuda_alloc_delta_mb_mean,host_rss_mb_max,host_rss_delta_mb_max,gauge.mem.gpu_mb.count,gauge.mem.gpu_mb.sum,gauge.mem.gpu_mb.mean,gauge.mem.gpu_mb.min,gauge.mem.gpu_mb.max,gauge.mem.gpu_mb.std,gauge.mem.gpu_mb.p50,gauge.mem.gpu_mb.p90,gauge.mem.gpu_mb.p99,gauge.mem.host_rss_mb.count,gauge.mem.host_rss_mb.sum,gauge.mem.host_rss_mb.mean,gauge.mem.host_rss_mb.min,gauge.mem.host_rss_mb.max,gauge.mem.host_rss_mb.std,gauge.mem.host_rss_mb.p50,gauge.mem.host_rss_mb.p90,gauge.mem.host_rss_mb.p99,plan_idx,cell_wall_s,timer.hookllm.build_extra.count,timer.hookllm.build_extra.sum,timer.hookllm.build_extra.mean,timer.hookllm.build_extra.min,timer.hookllm.build_extra.max,timer.hookllm.build_extra.std,timer.hookllm.build_extra.p50,timer.hookllm.build_extra.p90,timer.hookllm.build_extra.p99,timer.rpc.flush_disk.count,timer.rpc.flush_disk.sum,timer.rpc.flush_disk.mean,timer.rpc.flush_disk.min,timer.rpc.flush_disk.max,timer.rpc.flush_disk.std,timer.rpc.flush_disk.p50,timer.rpc.flush_disk.p90,timer.rpc.flush_disk.p99,timer.hookllm.generate.count,timer.hookllm.generate.sum,timer.hookllm.generate.mean,timer.hookllm.generate.min,timer.hookllm.generate.max,timer.hookllm.generate.std,timer.hookllm.generate.p50,timer.hookllm.generate.p90,timer.hookllm.generate.p99,timer.io.artifact_load.safetensors.count,timer.io.artifact_load.safetensors.sum,timer.io.artifact_load.safetensors.mean,timer.io.artifact_load.safetensors.min,timer.io.artifact_load.safetensors.max,timer.io.artifact_load.safetensors.std,timer.io.artifact_load.safetensors.p50,timer.io.artifact_load.safetensors.p90,timer.io.artifact_load.safetensors.p99,timer.analyzer.kernel.count,timer.analyzer.kernel.sum,timer.analyzer.kernel.mean,timer.analyzer.kernel.min,timer.analyzer.kernel.max,timer.analyzer.kernel.std,timer.analyzer.kernel.p50,timer.analyzer.kernel.p90,timer.analyzer.kernel.p99,timer.hookllm.analyze.count,timer.hookllm.analyze.sum,timer.hookllm.analyze.mean,timer.hookllm.analyze.min,timer.hookllm.analyze.max,timer.hookllm.analyze.std,timer.hookllm.analyze.p50,timer.hookllm.analyze.p90,timer.hookllm.analyze.p99,gauge.hookllm.prompts.count,gauge.hookllm.prompts.sum,gauge.hookllm.prompts.mean,gauge.hookllm.prompts.min,gauge.hookllm.prompts.max,gauge.hookllm.prompts.std,gauge.hookllm.prompts.p50,gauge.hookllm.prompts.p90,gauge.hookllm.prompts.p99,gauge.io.bytes_read.safetensors.count,gauge.io.bytes_read.safetensors.sum,gauge.io.bytes_read.safetensors.mean,gauge.io.bytes_read.safetensors.min,gauge.io.bytes_read.safetensors.max,gauge.io.bytes_read.safetensors.std,gauge.io.bytes_read.safetensors.p50,gauge.io.bytes_read.safetensors.p90,gauge.io.bytes_read.safetensors.p99,gauge.io.bytes_read.json.count,gauge.io.bytes_read.json.sum,gauge.io.bytes_read.json.mean,gauge.io.bytes_read.json.min,gauge.io.bytes_read.json.max,gauge.io.bytes_read.json.std,gauge.io.bytes_read.json.p50,gauge.io.bytes_read.json.p90,gauge.io.bytes_read.json.p99,counter.hookllm.generate.calls,counter.hookllm.analyze.calls
2026-06-02 14:59:12,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,1,1,,False,True,,,,,,1,0,baseline,5,0.016634410014376044,3.748852759599686e-06,1.63959339261055e-07,0.016638322826474906,962.1196138097578,60.13247586310986,41876.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.53125,0.0,2,83752.125,41876.0625,41876.0625,41876.0625,0.0,41876.0625,41876.0625,41876.0625,2,2257.0625,1128.53125,1128.53125,1128.53125,0.0,1128.53125,1128.53125,1128.53125,1,37.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 14:59:40,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,32,1,,False,True,,,,,,1,0,baseline,5,0.4865407671779394,4.322407767176628e-06,2.1602027118206023e-07,0.48654530560597775,32.88907217361365,65.7781443472273,41876.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.1796875,0.0,42,1758794.625,41876.0625,41876.0625,41876.0625,0.0,41876.0625,41876.0625,41876.0625,42,53935.546875,1284.1796875,1284.1796875,1284.1796875,0.0,1284.1796875,1284.1796875,1284.1796875,2,28.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:00:04,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,1,16,,False,True,,,,,,1,0,baseline,5,0.03339911038056016,3.158207982778549e-06,1.2395903468132019e-07,0.03340239254757762,7665.451260104579,479.0907037565362,41876.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292.421875,0.0,3,125628.1875,41876.0625,41876.0625,41876.0625,0.0,41876.0625,41876.0625,41876.0625,3,3877.265625,1292.421875,1292.421875,1292.421875,0.0,1292.421875,1292.421875,1292.421875,3,23.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:00:32,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,32,16,,False,True,,,,,,1,0,baseline,5,0.5415871405508369,4.0978193283081055e-06,1.9441358745098114e-07,0.5415914327837527,472.7006132478133,945.4012264956266,41876.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.23828125,0.0,46,1926298.875,41876.0625,41876.0625,41876.0625,0.0,41876.0625,41876.0625,41876.0625,46,60178.9609375,1308.23828125,1308.23828125,1308.23828125,0.0,1308.23828125,1308.23828125,1308.23828125,4,28.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:00:57,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,256,1,1,,False,True,,,,,,1,0,baseline,5,0.016812261752784254,3.2884534448385237e-06,1.2009404599666594e-07,0.016815670300275087,15230.113113924057,59.49262935126585,41876.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.328125,0.0,1,41876.0625,41876.0625,41876.0625,41876.0625,,,,,1,1307.328125,1307.328125,1307.328125,1307.328125,,,,,5,24.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:01:25,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,256,32,1,,False,True,,,,,,1,0,baseline,5,0.49149035778827965,4.1996128857135774e-06,2.0442530512809753e-07,0.4914947618264705,520.8808659757248,65.1101082469656,41876.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.31640625,0.0,49,2051927.0625,41876.0625,41876.0625,41876.0625,0.0,41876.0625,41876.0625,41876.0625,49,64107.50390625,1308.31640625,1308.31640625,1308.31640625,0.0,1308.31640625,1308.31640625,1308.31640625,6,28.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:01:52,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,256,1,16,,False,True,,,,,,1,0,baseline,5,0.07478530365042388,3.86522151529789e-06,1.9059516489505768e-07,0.07478935946710408,54796.137446353925,214.04741189982002,41876.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.08203125,0.0,8,335008.5,41876.0625,41876.0625,41876.0625,0.0,41876.0625,41876.0625,41876.0625,8,10440.65625,1305.08203125,1305.08203125,1305.08203125,0.0,1305.08203125,1305.08203125,1305.08203125,7,27.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:02:21,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,256,32,16,,False,True,,,,,,1,0,baseline,5,0.5758374105207622,4.969071596860886e-06,3.0300579965114596e-07,0.5758426825981587,7113.328036143343,889.1660045179178,41876.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.98828125,0.0,57,2386935.5625,41876.0625,41876.0625,41876.0625,0.0,41876.0625,41876.0625,41876.0625,57,74498.33203125,1306.98828125,1306.98828125,1306.98828125,0.0,1306.98828125,1306.98828125,1306.98828125,8,29.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:02:45,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,1,1,,False,True,,,,,,1,0,plugin_idle,5,0.016127037024125455,3.3101532608270645e-06,1.280102878808975e-07,0.016130475187674166,992.5935972466534,62.03709982791584,41876.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.01171875,0.0,2,83752.125,41876.0625,41876.0625,41876.0625,0.0,41876.0625,41876.0625,41876.0625,2,2616.0234375,1308.01171875,1308.01171875,1308.01171875,0.0,1308.01171875,1308.01171875,1308.01171875,9,23.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 15:03:13,Qwen/Qwen2-1.5B-Instruct,float16,1,,,rpc,last_token,prefill,16,32,1,,False,True,,,,,,1,0,plugin_idle,5,0.49920260622166096,5.84120862185955e-06,3.465916961431503e-07,0.499208794021979,32.06574468261381,64.13148936522762,41876.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.39453125,0.0,49,2051927.0625,41876.0625,41876.0625,41876.0625,0.0,41876.0625,41876.0625,41876.0625,49,64111.33203125,1308.39453125,1308.39453125,1308.39453125,0.0,1308.39453125,1308.39453125,1308.39453125,10,28.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
